anime_id,rating_count
1,15509
5,6927
6,11077
7,2629
8,413
15,2424
16,3890
17,650
18,1911
19,4594
20,25925
22,2712
23,49
24,7153
25,2329
26,1625
27,4835
28,1648
29,227
30,17686
31,5530
32,10273
33,7143
43,8945
44,5729
45,7900
46,1954
47,9748
48,4369
49,1942
50,4530
51,2353
52,1946
53,3054
54,3111
55,398
56,480
57,5749
58,1562
59,12415
60,6259
61,6149
62,2084
63,4978
64,5824
65,4008
66,6702
67,3655
68,6072
69,178
71,11495
72,9235
73,8098
74,2262
75,783
76,2406
77,2031
79,7112
80,1712
81,1489
82,995
83,420
84,978
85,1040
86,602
87,902
88,601
89,354
90,4022
91,1504
92,666
93,4392
94,3245
95,489
96,1639
97,3799
98,3506
99,1938
100,1745
101,8820
102,2995
103,253
104,1656
105,609
106,958
107,985
108,471
109,2094
110,325
111,319
112,212
113,622
114,2054
115,323
116,424
117,438
118,283
119,1419
120,11130
121,25032
122,2103
123,2425
124,674
125,1220
126,917
127,605
128,361
129,1140
130,732
131,493
132,2725
133,4778
134,4071
135,2398
136,5626
137,2788
138,2991
139,2888
141,314
142,1495
143,1841
144,1653
145,3079
146,2141
147,4164
148,166
149,4412
150,7496
151,338
152,694
153,1852
154,7814
155,1388
156,2191
157,3541
158,1032
159,457
160,1475
161,1559
162,685
163,219
164,16303
165,2399
166,3347
167,2190
168,2425
169,4170
170,2711
171,52
173,904
174,5150
175,768
176,204
177,5465
178,791
179,212
180,2920
181,2331
182,3486
183,326
184,584
185,2699
186,2303
187,2030
188,27
189,8013
190,4118
191,3346
192,3053
193,3171
194,1189
195,5489
196,3662
197,778
198,2236
199,22974
200,487
201,708
202,6278
203,253
204,1045
205,14068
206,604
207,1087
208,2261
209,1933
210,3285
211,77
212,362
213,110
214,72
215,84
216,110
217,70
218,1018
219,542
220,67
221,853
222,563
223,14117
225,11079
226,27506
227,13152
228,5638
229,1057
230,872
231,136
232,7492
233,451
234,95
236,503
237,7851
238,1497
239,2597
240,4300
241,4180
242,1101
243,3967
244,74
245,9820
246,1792
247,446
248,3590
249,9328
250,1299
251,1670
252,793
253,786
254,496
255,406
256,4064
257,4138
258,460
259,382
260,874
261,525
262,368
263,4935
264,2513
265,2225
266,427
267,3324
268,5528
269,12845
270,14094
271,263
272,2155
273,438
274,1360
275,848
276,1746
277,1187
278,183
279,513
280,15
281,735
282,238
283,233
284,300
285,339
286,259
287,996
288,2811
289,558
290,976
291,1181
292,552
293,536
294,275
295,176
296,500
297,1850
298,2407
299,1260
300,725
301,120
302,438
303,724
304,1835
305,62
306,1781
307,20
308,187
309,89
310,55
311,81
312,14
313,42
314,19
315,65
316,120
317,9588
318,955
319,258
320,1458
321,490
322,4092
323,4407
324,379
325,2285
326,1663
327,312
328,197
329,2365
330,4883
331,116
332,57
333,56
334,788
335,1026
336,300
337,355
338,707
339,6103
340,512
341,1543
342,325
343,1689
344,221
345,634
346,439
347,228
348,539
349,99
350,762
351,360
352,378
353,255
354,264
355,11950
356,14915
357,6487
358,865
359,119
360,124
361,141
362,110
363,81
364,167
365,646
366,822
367,57
368,1662
369,1104
370,323
371,3314
372,3406
373,285
374,150
375,154
376,7366
377,252
378,149
379,2747
380,881
381,764
382,1123
383,688
384,6836
385,689
386,147
387,3664
388,382
389,2050
390,2877
391,810
392,6764
393,1929
394,2141
395,4796
396,804
397,667
398,532
399,88
400,3153
401,2935
402,38
403,967
404,944
405,4100
406,423
407,605
408,3393
411,1817
412,3043
413,1131
415,711
416,3624
417,1566
418,818
419,1771
420,736
421,280
422,110
423,110
424,209
425,208
426,499
427,1721
428,585
429,593
430,11153
431,17258
432,445
433,4279
434,163
435,1581
437,4459
438,460
439,235
440,1586
441,992
442,7846
443,2375
444,673
445,475
446,294
447,498
448,2048
449,3033
450,3408
451,3071
452,3191
454,860
455,345
456,363
457,7004
458,222
459,2926
460,2457
461,2400
462,2479
463,2246
464,2305
465,2069
466,1036
467,6329
468,4102
469,5212
470,543
471,507
472,659
473,186
474,1067
475,122
476,1368
477,1859
478,1724
479,2186
481,5741
482,2840
483,461
484,359
485,429
486,2550
487,3210
488,1725
489,957
490,1142
492,686
493,552
495,406
496,90
497,711
498,79
499,338
501,426
502,1904
503,133
504,442
505,113
506,83
507,1542
508,1032
509,1349
510,88
511,110
512,7840
513,7597
514,1726
515,136
516,341
517,2557
518,78
519,770
520,250
521,1273
522,1990
523,12748
524,1639
525,228
526,242
527,9334
528,6579
529,2280
530,7089
531,2107
532,3798
533,187
534,3395
535,2256
536,1027
537,722
538,1304
539,1338
540,936
541,680
543,3868
544,222
545,61
546,334
547,112
548,1259
550,4463
551,719
552,9395
553,1671
554,735
555,400
556,201
557,284
558,1555
559,250
560,368
561,376
562,58
563,1216
564,1363
565,2168
566,504
567,1614
568,783
569,596
570,2347
571,59
572,7109
573,858
574,83
576,1147
577,180
578,7755
579,1097
580,218
581,326
582,130
584,1850
585,4258
586,1186
587,3080
588,481
589,444
590,895
591,2444
592,33
593,567
594,3696
595,510
596,2422
597,4957
598,282
599,98
600,347
601,1527
602,23
603,541
604,218
605,84
606,265
607,80
608,220
609,664
610,654
611,26
612,158
